4017:1
BACK:1
C1:1
C2:1
D1:1
D2:1
D3:1
D4:1
D5:1
D6:1
D7:1
D8:1
D9:1
G***:2
J1:1
J2:1
J3:1
NE555P:1
R1 1K:1
R2 470:1
RV1:1
S1:1
S2:1
